"Date","Game","Team","Opponent","Home","Win","PIR","OppPIR","TeamGroup","OppGroup"
2015-01-25,46,"CHI","MIA","1","0",74,119,2,2
2015-01-27,47,"CHI","GSW","0","1",121,114,2,4
2015-01-29,48,"CHI","LAL","0","0",128,130,2,1
2015-01-30,49,"CHI","PHO","0","0",97,105,2,1
2015-02-04,50,"CHI","HOU","0","0",92,107,2,4
2015-02-07,51,"CHI","NOP","0","1",126,62,2,4
2015-02-08,52,"CHI","ORL","0","1",121,102,2,1
2015-02-10,53,"CHI","SAC","1","1",118,97,2,2
2015-02-12,54,"CHI","CLE","1","1",135,96,2,4
2015-02-20,55,"CHI","DET","0","0",91,96,2,1
2015-02-21,56,"CHI","PHO","1","1",128,117,2,1
2015-02-23,57,"CHI","MIL","1","1",107,54,2,2
2015-02-25,58,"CHI","CHO","1","0",105,99,2,3
2015-02-27,59,"CHI","MIN","1","1",104,96,2,3
2015-03-01,60,"CHI","LAC","1","0",73,109,2,4
2015-03-03,61,"CHI","WAS","1","1",103,96,2,3
2015-03-05,62,"CHI","OKC","1","1",126,112,2,4
2015-03-06,63,"CHI","IND","0","0",81,117,2,2
2015-03-08,64,"CHI","SAS","0","0",116,122,2,4
2015-03-09,65,"CHI","MEM","1","0",93,125,2,1
2015-03-11,66,"CHI","PHI","0","1",117,91,2,1
2015-03-13,67,"CHI","CHO","0","0",74,111,2,3
2015-03-15,68,"CHI","OKC","0","0",92,111,2,4
2015-03-18,69,"CHI","IND","1","1",116,84,2,2
2015-03-20,70,"CHI","TOR","1","1",141,94,2,4
2015-03-21,71,"CHI","DET","0","0",104,132,2,1
2015-03-23,72,"CHI","CHO","1","1",115,77,2,3
2015-03-25,73,"CHI","TOR","0","1",142,101,2,4
2015-03-28,74,"CHI","NYK","1","1",142,79,2,1
2015-04-01,75,"CHI","MIL","0","0",89,89,2,2
2015-04-03,76,"CHI","DET","1","1",92,86,2,1
2015-04-05,77,"CHI","CLE","0","0",103,112,2,4
2015-04-08,78,"CHI","ORL","0","0",114,112,2,1
2015-04-09,79,"CHI","MIA","0","1",97,69,2,2
2015-04-11,80,"CHI","PHI","1","1",130,95,2,1
2015-04-13,81,"CHI","BRK","0","1",138,73,2,1
2015-04-15,82,"CHI","ATL","1","1",101,73,2,3
2014-10-30,1,"CLE","NYK","1","0",102,107,4,1
2014-10-31,2,"CLE","CHI","0","1",116,107,4,2
2014-11-04,3,"CLE","POR","0","0",75,122,4,3
2014-11-05,4,"CLE","UTA","0","0",84,117,4,2
2014-11-07,5,"CLE","DEN","0","1",127,101,4,3
2014-11-10,6,"CLE","NOP","1","1",144,123,4,4
2014-11-14,7,"CLE","BOS","0","1",136,132,4,3
2014-11-15,8,"CLE","ATL","1","1",160,101,4,3
2014-11-17,9,"CLE","DEN","1","0",107,111,4,3
