"Date","Game","Team","Opponent","Home","Win","FieldGoals.","X3PointShots.","FreeThrows.","OffRebounds","TotalRebounds","Assists","Steals","Blocks","Turnovers","TotalFouls","Opp.FieldGoals.","Opp.3PointShots.","Opp.FreeThrows.","Opp.OffRebounds","Opp.TotalRebounds","Opp.Assists","Opp.Steals","Opp.Blocks","Opp.Turnovers","Opp.TotalFouls","TeamGroup","OppGroup"
2015-01-24,44,"BRK","UTA","0","0",0.387,0.333,0.625,8,29,17,10,9,17,17,0.532,0.448,0.786,6,43,23,9,5,15,13,1,2
2015-01-28,45,"BRK","ATL","0","0",0.448,0.375,0.833,9,35,26,6,5,8,20,0.463,0.364,0.962,12,45,29,4,4,11,18,1,3
2015-01-30,46,"BRK","TOR","1","0",0.485,0.211,0.769,14,50,19,7,4,7,20,0.511,0.269,0.867,9,45,22,5,3,9,21,1,4
2015-02-02,47,"BRK","LAC","1","1",0.494,0.444,0.444,10,45,21,4,0,16,27,0.472,0.348,0.32,15,52,23,6,1,12,22,1,4
2015-02-04,48,"BRK","TOR","0","1",0.494,0.474,0.87,10,39,24,7,1,8,17,0.443,0.303,0.722,9,38,22,3,4,9,16,1,4
2015-02-06,49,"BRK","NYK","1","1",0.5,0.273,0.682,10,47,23,1,10,14,19,0.382,0.25,0.824,13,40,23,8,3,5,22,1,1
2015-02-07,50,"BRK","WAS","0","0",0.338,0.222,0.677,13,38,17,8,4,15,20,0.506,0.45,0.739,16,51,31,9,3,14,24,1,3
2015-02-09,51,"BRK","MIL","0","0",0.5,0.36,0.632,8,38,25,3,8,15,17,0.416,0.389,0.88,14,44,25,14,4,9,14,1,2
2015-02-10,52,"BRK","MEM","0","0",0.432,0.25,0.765,14,46,14,7,5,20,24,0.444,0.316,0.68,12,45,24,14,9,12,19,1,1
2015-02-20,53,"BRK","LAL","0","1",0.472,0.476,0.833,13,46,29,7,2,11,20,0.461,0.174,0.655,14,46,22,10,4,10,18,1,1
2015-02-23,54,"BRK","DEN","0","1",0.467,0.19,0.87,14,57,21,7,9,10,17,0.33,0.259,0.591,19,49,18,6,3,13,24,1,3
2015-02-27,56,"BRK","HOU","0","0",0.447,0.235,0.9,12,44,17,8,4,16,21,0.464,0.281,0.882,8,41,26,9,5,13,25,1,4
2015-03-02,58,"BRK","GSW","1","1",0.494,0.476,0.75,11,38,20,7,1,13,12,0.467,0.367,0.722,17,50,26,11,7,15,20,1,4
