"Date","Game","Team","Opponent","Home","Win","PIR","OppPIR","TeamGroup","OppGroup"
2015-01-30,48,"DAL","MIA","0","1",115,63,2,2
2015-01-31,49,"DAL","ORL","0","1",131,95,2,1
2015-02-02,50,"DAL","MIN","1","1",127,91,2,3
2015-02-04,51,"DAL","GSW","0","0",116,149,2,4
2015-02-05,52,"DAL","SAC","0","1",114,75,2,2
2015-02-07,53,"DAL","POR","1","1",120,109,2,3
2015-02-09,54,"DAL","LAC","1","0",97,136,2,4
2015-02-19,56,"DAL","OKC","0","0",83,111,2,4
2015-02-20,57,"DAL","HOU","1","1",123,97,2,4
2015-02-22,58,"DAL","CHO","1","1",115,75,2,3
2015-02-24,59,"DAL","TOR","1","1",113,81,2,4
2015-03-02,62,"DAL","NOP","1","1",116,92,2,4
2015-03-05,63,"DAL","POR","0","0",71,114,2,3
2015-03-10,66,"DAL","CLE","1","0",93,146,2,4
2015-03-13,67,"DAL","LAC","1","1",162,103,2,4
2015-03-20,70,"DAL","MEM","1","0",93,114,2,1
2015-03-27,73,"DAL","SAS","0","0",71,118,2,4
2015-03-29,74,"DAL","IND","0","0",94,118,2,2
2015-04-01,75,"DAL","OKC","0","1",164,142,2,4
2015-04-08,78,"DAL","PHO","1","1",121,106,2,1
2015-04-10,79,"DAL","DEN","0","1",174,145,2,3
2015-04-13,81,"DAL","UTA","0","0",79,130,2,2
2014-10-29,1,"DEN","DET","1","1",91,62,3,1
2014-11-01,2,"DEN","OKC","0","0",85,112,3,4
2014-11-03,3,"DEN","SAC","1","0",91,125,3,2
2014-11-05,4,"DEN","SAC","0","0",100,147,3,2
2014-11-07,5,"DEN","CLE","1","0",101,127,3,4
2014-11-09,6,"DEN","POR","0","0",92,137,3,3
2014-11-12,7,"DEN","POR","1","0",112,161,3,3
2014-11-14,8,"DEN","IND","0","1",111,82,3,2
2014-11-16,9,"DEN","NYK","0","0",82,123,3,1
2014-11-17,10,"DEN","CLE","0","1",111,107,3,4
2014-11-19,11,"DEN","OKC","1","1",134,96,3,4
2014-11-23,13,"DEN","LAL","0","1",94,95,3,1
2014-12-02,18,"DEN","POR","1","0",111,120,3,3
2014-12-05,19,"DEN","WAS","0","0",65,164,3,3
2014-12-07,20,"DEN","ATL","0","0",87,113,3,3
2014-12-08,21,"DEN","TOR","0","0",86,139,3,4
2014-12-10,22,"DEN","MIA","1","1",114,75,3,2
2014-12-14,24,"DEN","SAS","1","0",74,131,3,4
2014-12-17,25,"DEN","HOU","1","0",104,134,3,4
2014-12-22,28,"DEN","CHO","0","0",65,127,3,3
2014-12-23,29,"DEN","BRK","0","0",102,106,3,1
2014-12-26,30,"DEN","MIN","1","1",104,106,3,3
2014-12-30,32,"DEN","LAL","1","0",110,128,3,1
2015-01-01,33,"DEN","CHI","0","0",90,137,3,2
2015-01-03,34,"DEN","MEM","1","1",138,77,3,1
2015-01-05,35,"DEN","MIN","0","1",127,108,3,3
2015-01-07,36,"DEN","ORL","1","1",108,84,3,1
2015-01-09,37,"DEN","SAC","0","1",128,114,3,2
2015-01-14,38,"DEN","DAL","1","1",134,105,3,2
2015-01-16,39,"DEN","DAL","0","0",90,115,3,2
2015-01-17,40,"DEN","MIN","1","0",105,135,3,3
2015-01-19,41,"DEN","GSW","0","0",56,167,3,4
2015-01-20,42,"DEN","SAS","1","0",105,125,3,4
2015-01-23,43,"DEN","BOS","1","0",105,106,3,3
